,competition name ,competition type 
0,Premier League,Domestic league
1,Championship,Domestic league
2,League Cup,Domestic cup
3,Community Shield,Domestic super cup
4,EFL Trophy,Domestic cup
5,FA Trophy,Domestic cup
6,FA Vase,Domestic cup
7,Alan Turvey Trophy,Domestic cup
8,Southern League Cup,Domestic cup
9,Northern Premier League Challenge Cup,Domestic cup
10,BBFA Senior Cup,Domestic cup
11,Bedfordshire Senior Challenge Cup,Domestic cup
12,League One,Domestic league
13,Birmingham Senior Cup,Domestic cup
14,Cheshire Senior Cup,Domestic cup
15,Cumberland Senior Cup,Domestic cup
16,Derbyshire Senior Cup,Domestic cup
17,Durham County Challenge Cup,Domestic cup
18,Gloucester Senior Challenge Cup,Domestic cup
19,Essex Senior Cup,Domestic cup
20,Huntingdonshire Senior Cup,Domestic cup
21,East Riding Senior Cup,Domestic cup
22,Hertfordshire Senior Challenge Cup,Domestic cup
23,League Two,Domestic league
24,Kent Senior Cup,Domestic cup
25,Lancashire FA Challenge Trophy,Domestic cup
26,Lancashire Senior Cup,Domestic cup
27,Liverpool Senior Cup,Domestic cup
28,Lincolnshire Senior Cup,Domestic cup
29,Leicestershire and Rutland Challenge Cup,Domestic cup
30,London Senior Cup,Domestic cup
31,Manchester Premier Cup,Domestic cup
32,Manchester Senior Cup,Domestic cup
33,Middlesex Senior Cup,Domestic cup
34,National League,Domestic league
35,Norfolk Senior Cup,Domestic cup
36,North Riding Senior Cup,Domestic cup
37,Northamptonshire Senior Cup,Domestic cup
38,Northumberland Senior Cup,Domestic cup
39,Nottinghamshire Saturday Senior Cup,Domestic cup
40,Oxfordshire Senior Cup,Domestic cup
41,Staffordshire Senior Cup,Domestic cup
42,Sheffield and Hallamshire Senior Cup,Domestic cup
43,Somerset Premier Cup,Domestic cup
44,Suffolk FA Premier Cup,Domestic cup
45,National League N / S,Domestic league
46,Surrey Senior Cup,Domestic cup
47,Sussex Senior Challenge Cup,Domestic cup
48,West Riding County Cup,Domestic cup
49,Walsall Senior Cup,Domestic cup
50,Central League,Domestic league
51,Central League Cup,Domestic cup
52,Premier League 2 Division One,Domestic league
53,Premier League 2 Division Two,Domestic league
54,Professional Development League,Domestic league
55,Premier League Cup,Domestic cup
56,Non League Premier,Domestic league
57,U18 Premier League,Domestic league
58,FA Youth Cup,Domestic cup
59,U18 Professional Development League,Domestic league
60,U18 Premier League Cup,Domestic cup
61,Youth Alliance,Domestic league
62,Youth Alliance Cup,Domestic cup
63,Women's Super League,Domestic league
64,Women's Championship,Domestic league
65,Women's National League - Premier Division,Domestic league
66,Women's National League - Division One,Domestic league
67,Non League Div One,Domestic league
68,FA Women's Cup,Domestic cup
69,WSL Cup,Domestic cup
70,U21 Premier League Division 1,Domestic league
71,U21 Premier League Division 2 ,Domestic league
72,Premier Reserve League,Domestic league
73,Women's Premier League,Domestic league
74,Conference League Cup,Domestic cup
75,Women's League Cup,Domestic cup
76,Women's Play-offs 3/4,Domestic cup
77,North West Counties League Premier,Domestic league
78,FA Cup,Domestic cup
