,season,winner
0,2018/2019,Luton Town
1,2017/2018,Wigan Athletic
2,2016/2017,Sheffield United
3,2015/2016,Wigan Athletic
4,2014/2015,Bristol City
5,2013/2014,Wolverhampton Wanderers
6,2012/2013,Doncaster Rovers
7,2011/2012,Charlton Athletic
8,2010/2011,Brighton & Hove Albion
9,2009/2010,Norwich City
10,2008/2009,Leicester City
11,2007/2008,Swansea City
12,2006/2007,Scunthorpe United
13,2005/2006,Southend United
14,2004/2005,Luton Town
15,2003/2004,Plymouth Argyle
16,2002/2003,Wigan Athletic
17,2001/2002,Brighton & Hove Albion
18,2000/2001,Millwall
19,1999/2000,Preston North End
20,1998/1999,Fulham
21,1997/1998,Watford
22,1996/1997,Bury
23,1995/1996,Swindon Town
24,1994/1995,Birmingham City
25,1993/1994,Reading
